Date,Time,SPO2 Value,DateTime,Wellness Index
2024-02-16,03:30:03,94.7,2024-02-16 03:30:03,0.6293706293706295
2024-02-16,03:31:03,94.8,2024-02-16 03:31:03,0.6363636363636361
2024-02-16,03:32:03,94.9,2024-02-16 03:32:03,0.6433566433566437
2024-02-16,03:33:03,94.9,2024-02-16 03:33:03,0.6433566433566437
2024-02-16,03:34:03,95.0,2024-02-16 03:34:03,0.6503496503496503
2024-02-16,03:35:03,95.0,2024-02-16 03:35:03,0.6503496503496503
2024-02-16,03:36:03,95.1,2024-02-16 03:36:03,0.6573426573426568
2024-02-16,03:37:03,95.2,2024-02-16 03:37:03,0.6643356643356645
2024-02-16,03:38:03,95.4,2024-02-16 03:38:03,0.6783216783216787
2024-02-16,03:39:03,95.4,2024-02-16 03:39:03,0.6783216783216787
2024-02-16,03:40:03,95.5,2024-02-16 03:40:03,0.6853146853146852
2024-02-16,03:41:03,95.6,2024-02-16 03:41:03,0.6923076923076918
2024-02-16,03:42:03,95.7,2024-02-16 03:42:03,0.6993006993006995
2024-02-16,03:44:03,95.6,2024-02-16 03:44:03,0.6923076923076918
2024-02-16,03:46:03,94.9,2024-02-16 03:46:03,0.6433566433566437
2024-02-16,03:47:03,93.9,2024-02-16 03:47:03,0.5734265734265738
2024-02-16,03:51:03,92.0,2024-02-16 03:51:03,0.44055944055944046
2024-02-16,03:52:03,92.1,2024-02-16 03:52:03,0.44755244755244705
2024-02-16,03:53:03,92.0,2024-02-16 03:53:03,0.44055944055944046
2024-02-16,04:02:03,94.5,2024-02-16 04:02:03,0.6153846153846153
2024-02-16,04:03:03,94.9,2024-02-16 04:03:03,0.6433566433566437
2024-02-16,04:04:03,94.6,2024-02-16 04:04:03,0.622377622377622
2024-02-16,04:05:03,95.1,2024-02-16 04:05:03,0.6573426573426568
2024-02-16,04:06:03,95.2,2024-02-16 04:06:03,0.6643356643356645
2024-02-16,04:07:03,94.7,2024-02-16 04:07:03,0.6293706293706295
2024-02-16,04:08:03,95.0,2024-02-16 04:08:03,0.6503496503496503
2024-02-16,04:09:03,94.7,2024-02-16 04:09:03,0.6293706293706295
2024-02-16,04:10:03,95.3,2024-02-16 04:10:03,0.671328671328671
2024-02-16,04:11:03,95.2,2024-02-16 04:11:03,0.6643356643356645
2024-02-16,04:12:03,94.2,2024-02-16 04:12:03,0.5944055944055945
2024-02-16,04:17:03,94.8,2024-02-16 04:17:03,0.6363636363636361
2024-02-16,04:18:03,97.0,2024-02-16 04:18:03,0.7902097902097902
2024-02-16,04:19:03,97.6,2024-02-16 04:19:03,0.8321678321678317
2024-02-16,04:20:03,97.7,2024-02-16 04:20:03,0.8391608391608393
2024-02-16,04:22:03,97.9,2024-02-16 04:22:03,0.8531468531468536
2024-02-16,04:23:03,97.8,2024-02-16 04:23:03,0.8461538461538459
2024-02-16,04:24:03,97.5,2024-02-16 04:24:03,0.8251748251748251
2024-02-16,04:25:03,97.5,2024-02-16 04:25:03,0.8251748251748251
2024-02-16,04:26:03,97.2,2024-02-16 04:26:03,0.8041958041958044
2024-02-16,04:27:03,97.8,2024-02-16 04:27:03,0.8461538461538459
2024-02-16,04:28:03,97.7,2024-02-16 04:28:03,0.8391608391608393
2024-02-16,04:30:03,97.3,2024-02-16 04:30:03,0.8111888111888109
2024-02-16,04:31:03,95.5,2024-02-16 04:31:03,0.6853146853146852
2024-02-16,04:32:03,93.7,2024-02-16 04:32:03,0.5594405594405596
2024-02-16,04:33:03,92.2,2024-02-16 04:33:03,0.45454545454545464
2024-02-16,04:34:03,91.3,2024-02-16 04:34:03,0.3916083916083913
