Date,Time,RMSSD,Coverage,HF,LF
2024-04-01,01:10:00,71.672,0.783,897.376,1624.524
2024-04-01,01:15:00,71.651,0.961,723.598,2010.247
2024-04-01,01:20:00,66.799,1.003,879.063,1345.564
2024-04-01,01:25:00,60.507,0.911,710.981,2511.833
2024-04-01,01:30:00,64.123,0.954,639.036,2541.703
2024-04-01,01:35:00,63.145,1.004,756.277,2043.88
2024-04-01,01:40:00,53.264,0.989,546.204,1763.942
2024-04-01,01:45:00,46.065,0.87,337.071,732.84
2024-04-01,02:10:00,52.119,1.004,552.541,2674.608
2024-04-01,02:15:00,35.742,0.974,201.763,1289.677
2024-04-01,02:20:00,31.219,0.992,124.599,1884.736
2024-04-01,02:25:00,29.103,0.956,99.108,1410.315
2024-04-01,02:30:00,25.583,1.004,80.128,1458.655
2024-04-01,02:35:00,37.089,0.993,185.251,1331.257
2024-04-01,02:40:00,36.19,1.0,137.534,2217.615
2024-04-01,02:45:00,31.891,0.962,157.963,1464.345
2024-04-01,02:50:00,26.949,0.807,122.019,986.836
2024-04-01,03:00:00,38.42,0.781,190.519,1406.347
2024-04-01,03:05:00,35.069,0.991,223.402,2566.999
2024-04-01,03:10:00,38.127,0.973,208.677,2259.18
2024-04-01,03:15:00,40.243,0.961,229.573,3914.262
2024-04-01,03:20:00,45.518,0.91,209.448,1801.403
2024-04-01,03:25:00,50.279,1.003,434.915,1249.377
2024-04-01,03:30:00,42.697,1.002,282.693,956.887
2024-04-01,03:35:00,42.603,1.006,320.596,703.739
2024-04-01,03:40:00,40.785,1.002,305.02,935.514
2024-04-01,03:45:00,43.151,1.003,347.865,1102.958
2024-04-01,03:50:00,42.681,1.004,320.641,832.574
2024-04-01,03:55:00,44.824,0.943,273.318,3059.009
2024-04-01,04:00:00,50.202,0.91,332.648,3502.84
2024-04-01,04:05:00,46.673,1.005,308.585,1174.248
2024-04-01,04:10:00,46.673,0.997,266.928,3741.574
2024-04-01,04:15:00,50.966,0.98,315.401,1750.168
2024-04-01,04:20:00,60.812,0.97,633.103,3529.365
2024-04-01,04:25:00,51.339,0.959,431.224,3862.007
2024-04-01,04:30:00,40.699,1.005,264.228,1990.534
2024-04-01,04:35:00,37.158,1.004,237.725,3051.038
2024-04-01,04:40:00,34.615,1.002,176.031,1160.82
2024-04-01,04:45:00,38.921,0.983,241.457,692.159
2024-04-01,04:50:00,46.136,0.985,340.499,957.175
2024-04-01,04:55:00,51.732,0.936,347.87,3009.102
2024-04-01,05:00:00,43.394,0.979,301.996,1772.785
2024-04-01,05:05:00,43.485,0.989,259.736,1077.47
2024-04-01,05:10:00,62.69,0.835,575.771,2109.334
2024-04-01,05:20:00,59.535,1.003,404.707,4828.116
2024-04-01,05:25:00,36.701,0.977,262.13,966.105
2024-04-01,05:30:00,33.473,0.976,148.322,3045.011
2024-04-01,05:35:00,36.504,1.005,113.043,2627.81
2024-04-01,05:40:00,28.625,0.98,155.384,2261.27
2024-04-01,05:45:00,34.385,0.94,197.329,2052.925
2024-04-01,05:50:00,36.089,1.003,193.033,2157.662
2024-04-01,05:55:00,36.739,1.004,187.443,1415.997
2024-04-01,06:00:00,42.238,0.959,205.178,1807.293
2024-04-01,06:05:00,49.651,0.921,306.563,2949.571
2024-04-01,06:10:00,37.074,1.002,249.68,2835.043
2024-04-01,06:15:00,34.455,1.006,127.665,1511.214
2024-04-01,06:20:00,46.722,0.96,334.53,3697.333
2024-04-01,06:25:00,39.405,0.953,184.72,1147.741
2024-04-01,06:30:00,42.822,1.003,301.678,2076.36
2024-04-01,06:35:00,49.759,0.883,358.065,4494.81
2024-04-01,06:40:00,49.627,0.945,371.05,1667.387
2024-04-01,06:45:00,50.262,0.998,388.944,1694.181
2024-04-01,06:50:00,52.837,0.965,436.898,4200.606
2024-04-01,06:55:00,55.319,1.004,633.771,2520.444
2024-04-01,07:00:00,53.314,0.962,362.195,2994.699
2024-04-01,07:05:00,59.425,0.948,274.75,3270.819
2024-04-01,07:10:00,47.122,0.986,269.068,2739.925
2024-04-01,07:15:00,53.392,0.921,348.524,3334.509
2024-04-01,07:20:00,49.381,0.944,289.827,1758.173
2024-04-01,07:25:00,45.097,1.002,317.05,1709.534
2024-04-01,07:30:00,45.301,1.005,231.55,2076.799
2024-04-01,07:35:00,39.023,0.997,238.801,1791.497
2024-04-01,07:40:00,54.361,0.906,474.13,2680.02
2024-04-01,07:45:00,44.391,0.803,317.212,2218.463
2024-04-02,00:25:00,44.557,0.94,299.292,1298.069
2024-04-02,00:35:00,37.067,0.956,287.637,1810.407
2024-04-02,00:40:00,48.49,0.886,312.828,2236.681
2024-04-02,00:45:00,46.899,0.842,361.866,996.158
2024-04-02,00:50:00,40.758,1.001,349.735,850.069
2024-04-02,00:55:00,40.949,1.004,334.91,682.068
2024-04-02,01:00:00,39.026,1.004,302.029,1325.576
2024-04-02,01:05:00,37.372,1.004,304.747,954.495
2024-04-02,01:10:00,40.566,0.934,285.834,769.345
2024-04-02,01:15:00,59.063,1.003,547.172,3147.575
2024-04-02,01:20:00,39.087,0.989,174.983,1516.161
2024-04-02,01:25:00,38.103,1.005,198.001,1923.483
2024-04-02,01:30:00,45.864,1.003,406.332,2554.073
2024-04-02,01:35:00,61.357,0.951,1122.512,1827.925
2024-04-02,01:40:00,52.678,1.004,604.34,1197.784
2024-04-02,01:45:00,52.092,1.004,611.113,978.922
2024-04-02,01:50:00,43.961,1.003,458.969,341.635
2024-04-02,01:55:00,51.928,1.004,607.193,947.191
2024-04-02,02:00:00,49.48,1.0,501.035,490.335
2024-04-02,02:05:00,48.573,1.005,497.968,1022.118
2024-04-02,02:10:00,48.12,1.003,506.172,476.853
2024-04-02,02:15:00,52.393,1.005,500.791,999.746
2024-04-02,02:20:00,57.856,1.001,773.284,1094.668
2024-04-02,02:25:00,63.3,1.006,883.813,1600.4
2024-04-02,02:30:00,58.381,1.004,771.334,612.719
2024-04-02,02:35:00,60.309,1.002,698.248,1267.063
2024-04-02,02:40:00,69.23,1.004,992.628,1874.201
2024-04-02,02:45:00,49.764,0.815,360.448,2017.885
2024-04-02,02:50:00,49.65,0.956,339.405,1582.738
2024-04-02,02:55:00,49.689,1.003,443.31,2663.915
2024-04-02,03:00:00,76.276,0.964,1002.47,3439.223
2024-04-02,03:05:00,77.942,1.002,1196.573,6376.18
2024-04-02,03:10:00,72.092,0.932,674.03,5474.633
2024-04-02,03:15:00,77.34,0.998,1084.971,2490.619
2024-04-02,03:20:00,72.789,0.904,789.837,3141.926
2024-04-02,03:25:00,68.926,1.006,680.457,3381.841
2024-04-02,03:30:00,60.879,0.939,588.075,1014.204
2024-04-02,03:35:00,59.462,1.002,602.865,900.051
2024-04-02,03:40:00,56.72,1.003,479.901,843.648
2024-04-02,03:45:00,64.929,0.957,682.159,1471.229
2024-04-02,03:50:00,50.79,0.888,367.454,1208.989
2024-04-02,03:55:00,50.388,0.87,350.122,1404.05
2024-04-02,04:00:00,42.283,1.005,286.127,1623.878
2024-04-02,04:05:00,35.636,0.965,141.261,1573.254
2024-04-02,04:10:00,39.4,0.903,111.431,1085.207
2024-04-02,04:15:00,46.446,0.997,311.181,1179.673
2024-04-02,04:20:00,47.191,1.004,243.22,2504.011
2024-04-02,04:25:00,34.166,0.976,162.127,892.0
2024-04-02,04:30:00,55.16,1.003,620.656,2297.73
2024-04-02,04:35:00,47.485,1.005,439.146,1999.331
2024-04-02,04:40:00,46.858,0.987,502.141,1301.233
2024-04-02,04:45:00,44.982,0.981,373.804,1410.52
2024-04-02,04:50:00,47.177,1.004,460.241,770.757
2024-04-02,04:55:00,44.457,1.005,456.419,590.337
2024-04-02,05:00:00,60.952,0.939,694.704,2031.888
2024-04-02,05:05:00,56.787,1.003,635.869,755.93
2024-04-02,05:10:00,55.084,1.001,487.663,2418.505
2024-04-02,05:15:00,50.196,0.997,493.575,675.101
2024-04-02,05:20:00,58.3,0.964,639.21,1375.826
2024-04-02,05:25:00,48.426,0.811,296.486,1708.669
2024-04-02,05:30:00,41.141,0.986,211.483,1257.814
2024-04-02,05:35:00,32.696,0.96,145.656,1046.321
2024-04-02,05:40:00,34.133,0.998,142.318,1879.179
2024-04-02,05:45:00,44.061,1.003,359.092,2084.942
2024-04-02,05:50:00,36.482,1.005,268.085,1329.261
2024-04-02,05:55:00,54.316,0.94,608.338,2444.576
2024-04-02,06:00:00,67.178,0.951,684.808,3433.524
2024-04-02,06:05:00,47.281,0.994,424.77,2238.808
2024-04-02,06:10:00,40.49,1.001,284.288,1766.094
2024-04-02,06:15:00,54.167,0.944,637.878,1654.09
2024-04-02,06:20:00,60.441,1.002,663.805,1850.145
2024-04-02,06:25:00,59.834,0.931,802.883,1750.067
2024-04-02,06:30:00,60.847,0.996,572.839,1334.535
2024-04-02,06:35:00,53.225,1.004,504.875,1294.562
2024-04-02,06:40:00,59.682,0.964,537.152,886.611
2024-04-02,06:45:00,50.713,0.826,534.63,1313.741
2024-04-03,00:10:00,51.534,0.985,499.529,888.246
2024-04-03,00:15:00,60.248,0.932,650.301,853.169
2024-04-03,00:20:00,64.333,1.005,910.536,1371.452
2024-04-03,00:25:00,57.516,1.005,662.751,1209.0
2024-04-03,00:30:00,56.592,1.003,642.161,746.692
2024-04-03,00:35:00,66.596,0.966,597.788,1020.626
2024-04-03,00:40:00,64.438,0.998,772.093,893.416
2024-04-03,00:45:00,62.381,1.002,822.586,570.221
2024-04-03,00:50:00,62.246,0.98,769.275,639.433
2024-04-03,00:55:00,70.574,0.93,730.951,3092.975
2024-04-03,01:00:00,46.028,0.885,251.109,1866.364
2024-04-03,01:05:00,41.919,0.975,250.159,934.107
2024-04-03,01:10:00,50.073,1.005,352.731,1381.577
2024-04-03,01:15:00,60.699,0.966,667.096,2093.964
2024-04-03,01:20:00,57.157,1.005,421.197,1660.702
2024-04-03,01:25:00,50.353,0.972,369.077,1184.06
2024-04-03,01:30:00,65.962,1.005,1011.681,1793.466
2024-04-03,01:35:00,63.659,0.974,746.005,637.095
2024-04-03,01:40:00,66.6,1.005,625.633,1035.54
2024-04-03,01:45:00,57.576,1.003,492.44,769.307
2024-04-03,01:50:00,56.479,1.004,517.844,1397.909
2024-04-03,01:55:00,71.835,0.839,526.15,2020.136
2024-04-03,02:00:00,76.317,1.003,948.255,1809.975
2024-04-03,02:05:00,64.019,0.996,654.251,612.153
2024-04-03,02:10:00,70.062,1.005,715.783,448.626
2024-04-03,02:15:00,73.924,0.943,1255.584,5165.932
2024-04-03,02:20:00,92.26,1.003,1394.03,5829.11
2024-04-03,02:25:00,74.5,0.943,734.734,1983.925
2024-04-03,02:30:00,53.815,0.992,387.484,1447.061
2024-04-03,02:35:00,56.837,1.003,648.954,908.808
2024-04-03,02:40:00,58.03,1.003,489.459,514.887
2024-04-03,02:45:00,63.842,0.937,605.474,1120.557
2024-04-03,02:50:00,79.397,1.002,714.421,2211.164
2024-04-03,02:55:00,68.474,0.958,630.688,2234.099
2024-04-03,03:00:00,85.216,0.989,1278.336,3815.572
2024-04-03,03:05:00,61.997,0.986,344.202,2217.466
2024-04-03,03:10:00,68.576,0.933,867.255,2917.183
2024-04-03,03:15:00,93.509,0.915,1015.653,5227.372
2024-04-03,03:20:00,69.65,0.986,559.075,3083.452
2024-04-03,03:25:00,65.367,1.006,629.417,2962.271
2024-04-03,03:30:00,69.057,1.001,956.806,2215.526
2024-04-03,03:35:00,65.443,0.997,654.665,1329.327
2024-04-03,03:40:00,65.917,1.005,683.156,1563.783
2024-04-03,03:45:00,65.171,1.003,677.588,1160.768
2024-04-03,03:50:00,70.606,1.006,936.746,541.981
2024-04-03,03:55:00,76.373,0.938,885.063,2001.971
2024-04-03,04:00:00,66.568,0.971,551.138,718.821
2024-04-03,04:05:00,68.148,1.001,570.083,1115.319
2024-04-03,04:10:00,70.865,0.983,713.92,1360.804
2024-04-03,04:15:00,72.043,0.994,740.445,862.676
2024-04-03,04:20:00,95.077,0.968,1650.64,5803.693
2024-04-03,04:25:00,82.063,0.915,811.509,4288.617
2024-04-03,04:30:00,98.161,0.991,1539.451,1896.547
2024-04-03,04:35:00,78.562,0.921,917.874,1785.369
2024-04-03,04:40:00,70.586,0.971,792.361,2958.598
2024-04-03,04:45:00,58.54,0.953,987.267,3638.065
2024-04-03,04:50:00,62.437,1.001,606.996,3631.584
2024-04-03,04:55:00,58.884,0.993,513.291,2139.857
2024-04-03,05:00:00,50.54,0.977,457.615,1861.446
2024-04-03,05:05:00,57.24,0.998,543.396,2395.604
2024-04-03,05:10:00,48.671,1.002,397.444,835.79
2024-04-03,05:15:00,54.52,1.005,527.011,1875.941
2024-04-03,05:20:00,66.853,0.903,690.441,2564.383
2024-04-03,05:25:00,66.851,0.94,676.698,1257.91
2024-04-03,05:30:00,73.214,0.989,802.557,822.671
2024-04-03,05:35:00,61.06,0.982,520.428,1754.291
2024-04-03,05:40:00,71.133,1.004,863.24,916.425
2024-04-03,05:45:00,63.542,1.006,685.572,1071.052
2024-04-03,05:50:00,65.811,0.997,703.827,1231.584
2024-04-03,05:55:00,74.337,0.963,850.778,3489.924
2024-04-03,06:00:00,59.17,1.003,417.219,3839.44
2024-04-03,06:05:00,60.014,0.943,560.894,2075.642
2024-04-03,06:10:00,97.189,1.002,1571.817,4165.837
2024-04-03,06:15:00,80.92,0.962,1047.706,3692.679
2024-04-03,06:20:00,78.751,0.977,964.105,2687.547
2024-04-03,06:25:00,86.727,0.931,1103.047,2513.795
2024-04-03,06:30:00,85.155,1.004,958.366,2440.316
