Date,Time,RMSSD,Coverage,HF,LF
2024-02-17,01:40:00,66.246,0.919,1158.421,2007.921
2024-02-17,01:45:00,60.786,1.0,1288.872,872.09
2024-02-17,01:50:00,58.86,1.003,1099.52,1039.022
2024-02-17,01:55:00,56.068,0.997,861.93,849.217
2024-02-17,02:00:00,61.132,1.003,1131.082,714.741
2024-02-17,02:05:00,64.119,1.003,1165.953,925.587
2024-02-17,02:10:00,59.205,0.903,896.05,859.07
2024-02-17,02:15:00,50.738,1.004,456.766,1398.143
2024-02-17,02:20:00,40.147,0.961,329.041,950.28
2024-02-17,02:25:00,37.744,0.954,229.79,1412.424
2024-02-17,02:30:00,46.816,1.004,459.264,1624.737
2024-02-17,02:35:00,49.26,1.005,492.365,1475.081
2024-02-17,02:40:00,47.113,0.944,336.159,5071.29
2024-02-17,02:45:00,50.597,0.959,498.572,863.244
2024-02-17,02:50:00,46.431,1.004,388.784,701.834
2024-02-17,02:55:00,43.222,1.004,350.77,1111.82
2024-02-17,03:00:00,48.811,1.005,491.021,962.124
2024-02-17,03:05:00,58.25,0.906,613.742,882.179
2024-02-17,03:10:00,45.8,1.005,375.137,511.142
2024-02-17,03:15:00,50.602,0.975,457.844,590.776
2024-02-17,03:20:00,54.591,0.986,539.436,907.733
2024-02-17,03:25:00,51.505,0.995,574.175,843.307
2024-02-17,03:30:00,53.952,0.968,593.695,2202.635
2024-02-17,03:35:00,49.095,1.002,374.957,1458.878
2024-02-17,03:40:00,44.811,1.0,324.394,612.183
2024-02-17,03:45:00,51.633,0.785,503.176,1088.35
2024-02-17,03:50:00,45.14,0.781,333.586,913.558
2024-02-17,03:55:00,36.67,0.995,128.562,858.798
2024-02-17,04:00:00,42.901,0.994,269.018,1690.142
2024-02-17,04:05:00,39.04,0.986,203.241,1030.286
2024-02-17,04:10:00,74.224,0.862,810.36,2392.5
2024-02-17,04:15:00,77.542,0.986,1160.528,2115.109
2024-02-17,04:20:00,60.799,0.834,526.09,1815.358
2024-02-17,04:25:00,62.927,0.702,435.692,1108.51
2024-02-17,04:35:00,59.555,0.839,544.37,868.546
2024-02-17,04:40:00,65.174,0.845,427.976,2488.532
2024-02-17,04:45:00,70.592,0.778,861.184,1916.215
2024-02-17,04:50:00,64.188,0.899,557.969,4597.766
2024-02-17,04:55:00,82.646,0.88,1242.755,4271.459
2024-02-17,05:00:00,68.054,0.927,671.591,3040.678
2024-02-17,05:05:00,77.246,0.932,970.029,3437.87
2024-02-17,05:10:00,65.034,0.996,752.863,1676.436
2024-02-17,05:15:00,70.323,0.989,689.778,3452.328
2024-02-17,05:20:00,75.454,0.97,969.475,4256.32
2024-02-17,05:25:00,73.41,0.997,572.244,3229.615
2024-02-17,05:30:00,62.381,1.003,439.312,2617.756
2024-02-17,05:35:00,68.964,0.988,664.955,2252.526
2024-02-17,05:40:00,72.929,0.949,702.591,1718.207
2024-02-17,05:45:00,79.739,0.901,1187.859,1583.515
2024-02-17,05:50:00,75.828,0.972,1086.329,2003.891
2024-02-17,05:55:00,73.922,0.967,1085.393,2061.86
2024-02-17,06:00:00,57.268,1.004,752.449,1618.116
2024-02-17,06:05:00,57.15,0.956,562.303,1614.142
2024-02-17,06:10:00,56.025,1.004,873.276,1394.915
2024-02-17,06:15:00,49.792,1.002,554.857,1157.682
2024-02-17,06:20:00,48.76,1.006,567.019,347.273
2024-02-17,06:25:00,47.766,1.001,573.764,703.032
2024-02-17,06:30:00,50.813,1.006,605.288,836.547
2024-02-17,06:35:00,52.14,1.001,668.321,586.494
2024-02-17,06:40:00,56.697,0.939,724.545,913.019
