Date,Time,SPO2 Value
2024-03-01,23:50:03,98.5
2024-03-01,23:51:03,97.8
2024-03-01,23:52:03,97.1
2024-03-01,23:53:03,96.4
2024-03-01,23:54:03,95.9
2024-03-01,23:55:03,95.5
2024-03-01,23:56:03,95.1
2024-03-01,23:58:03,94.9
2024-03-01,23:59:03,94.5
2024-03-01,00:00:03,94.3
2024-03-01,00:01:03,94.2
2024-03-01,00:02:03,94.1
2024-03-01,00:03:03,94.0
2024-03-01,00:04:03,94.0
2024-03-01,00:05:03,94.0
2024-03-01,00:06:03,94.0
2024-03-01,00:08:03,94.2
2024-03-01,00:09:03,93.9
2024-03-01,00:10:03,93.7
2024-03-01,00:11:03,93.6
2024-03-01,00:12:03,93.6
2024-03-01,00:13:03,93.7
2024-03-01,00:14:03,93.5
2024-03-01,00:15:03,93.5
2024-03-01,00:16:03,93.6
2024-03-01,00:17:03,93.7
2024-03-01,00:18:03,93.9
2024-03-01,00:19:03,93.9
2024-03-01,00:20:03,93.9
2024-03-01,00:21:03,94.0
2024-03-01,00:22:03,94.2
2024-03-01,00:23:03,94.2
2024-03-01,00:24:03,94.4
2024-03-01,00:25:03,94.5
2024-03-01,00:26:03,94.6
2024-03-01,00:27:03,94.4
2024-03-01,00:28:03,94.4
2024-03-01,00:29:03,94.4
2024-03-01,00:30:03,94.5
2024-03-01,00:31:03,94.5
2024-03-01,00:33:03,94.9
2024-03-01,00:34:03,95.1
2024-03-01,00:35:03,95.2
2024-03-01,00:36:03,95.1
2024-03-01,00:38:03,95.0
2024-03-01,00:39:03,94.7
2024-03-01,00:40:03,94.5
2024-03-01,00:41:03,94.5
2024-03-01,00:43:03,94.6
2024-03-01,00:44:03,94.6
2024-03-01,00:45:03,94.5
2024-03-01,00:46:03,94.4
2024-03-01,00:48:03,94.6
2024-03-01,00:49:03,94.8
2024-03-01,00:50:03,95.1
2024-03-01,00:52:03,95.3
2024-03-01,00:53:03,95.7
2024-03-01,00:55:03,96.0
2024-03-01,00:56:03,95.6
2024-03-01,00:57:03,95.2
2024-03-01,00:58:03,94.9
2024-03-01,00:59:03,95.0
2024-03-01,01:00:03,94.8
2024-03-01,01:01:03,94.8
2024-03-01,01:02:03,94.8
2024-03-01,01:03:03,94.8
2024-03-01,01:04:03,94.8
2024-03-01,01:05:03,94.9
2024-03-01,01:06:03,94.9
2024-03-01,01:07:03,94.9
2024-03-01,01:08:03,94.9
2024-03-01,01:09:03,94.9
2024-03-01,01:10:03,94.8
2024-03-01,01:11:03,94.8
2024-03-01,01:12:03,94.9
2024-03-01,01:13:03,94.7
2024-03-01,01:14:03,94.9
2024-03-01,01:15:03,94.9
2024-03-01,01:16:03,95.0
2024-03-01,01:17:03,95.0
2024-03-01,01:18:03,95.1
2024-03-01,01:20:03,96.4
2024-03-01,01:21:03,96.5
2024-03-01,01:22:03,96.6
2024-03-01,01:23:03,96.6
2024-03-01,01:24:03,96.5
2024-03-01,01:25:03,96.5
2024-03-01,01:26:03,96.5
2024-03-01,01:27:03,96.5
2024-03-01,01:28:03,96.4
2024-03-01,01:29:03,96.4
2024-03-01,01:30:03,96.5
2024-03-01,01:31:03,96.3
2024-03-01,01:32:03,96.3
2024-03-01,01:34:03,95.8
2024-03-01,01:35:03,95.4
2024-03-01,01:37:03,95.3
2024-03-01,01:38:03,95.2
2024-03-01,01:39:03,95.2
2024-03-01,01:40:03,95.8
2024-03-01,01:42:03,95.7
2024-03-01,01:43:03,95.9
2024-03-01,01:45:03,95.9
2024-03-01,01:47:03,96.0
2024-03-01,01:49:03,95.9
2024-03-01,01:50:03,96.0
2024-03-01,01:51:03,96.6
2024-03-01,01:53:03,97.2
2024-03-01,01:56:03,97.2
2024-03-01,01:58:03,97.0
2024-03-01,01:59:03,96.7
2024-03-01,02:00:03,96.7
2024-03-01,02:01:03,96.6
2024-03-01,02:02:03,97.3
2024-03-01,02:03:03,97.6
2024-03-01,02:04:03,97.4
2024-03-01,02:05:03,95.1
2024-03-01,02:06:03,95.3
2024-03-01,02:07:03,95.5
2024-03-01,02:08:03,95.8
2024-03-01,02:09:03,96.5
2024-03-01,02:10:03,97.4
2024-03-01,02:11:03,95.7
2024-03-01,02:12:03,96.0
2024-03-01,02:13:03,96.4
2024-03-01,02:16:03,96.8
2024-03-01,02:17:03,96.1
2024-03-01,02:18:03,95.7
2024-03-01,02:19:03,95.5
2024-03-01,02:20:03,95.4
2024-03-01,02:21:03,95.4
2024-03-01,02:22:03,95.4
2024-03-01,02:23:03,95.3
2024-03-01,02:24:03,95.2
2024-03-01,02:25:03,95.3
2024-03-01,02:26:03,95.4
2024-03-01,02:27:03,95.5
2024-03-01,02:28:03,95.4
2024-03-01,02:29:03,95.5
2024-03-01,02:30:03,95.5
2024-03-01,02:32:03,95.4
2024-03-01,02:33:03,95.1
2024-03-01,02:34:03,95.0
2024-03-01,02:37:03,94.6
2024-03-01,02:38:03,94.7
2024-03-01,02:40:03,94.5
2024-03-01,02:41:03,94.9
2024-03-01,02:42:03,95.1
2024-03-01,02:43:03,95.1
2024-03-01,02:44:03,95.2
2024-03-01,02:45:03,94.8
2024-03-01,02:46:03,94.9
2024-03-01,02:47:03,94.9
2024-03-01,02:48:03,95.2
2024-03-01,02:49:03,95.5
2024-03-01,02:51:03,95.2
2024-03-01,02:52:03,94.7
2024-03-01,02:53:03,94.5
2024-03-01,02:54:03,93.9
2024-03-01,02:55:03,93.7
2024-03-01,02:56:03,93.4
2024-03-01,02:57:03,93.5
2024-03-01,02:58:03,93.6
2024-03-01,02:59:03,93.7
2024-03-01,03:00:03,93.5
2024-03-01,03:01:03,93.5
2024-03-01,03:02:03,93.3
2024-03-01,03:03:03,93.1
2024-03-01,03:04:03,93.0
2024-03-01,03:06:03,93.0
2024-03-01,03:07:03,93.9
2024-03-01,03:09:03,93.5
2024-03-01,03:10:03,92.9
2024-03-01,03:11:03,93.1
2024-03-01,03:12:03,93.1
2024-03-01,03:13:03,92.9
2024-03-01,03:14:03,93.1
2024-03-01,03:15:03,93.3
2024-03-01,03:16:03,94.0
2024-03-01,03:18:03,94.4
2024-03-01,03:19:03,94.5
2024-03-01,03:20:03,94.4
2024-03-01,03:21:03,94.5
2024-03-01,03:22:03,94.6
2024-03-01,03:23:03,94.7
2024-03-01,03:25:03,94.7
2024-03-01,03:26:03,95.0
2024-03-01,03:27:03,95.2
2024-03-01,03:28:03,94.8
2024-03-01,03:29:03,95.1
